jlpt_level,jp,reading,meaning_ko,kind,is_active
N1,こたつ,こたつ,"히터가 있는 테이블, (원래) 바닥 우물에 숯불 화로",vocab,true
N1,こだわる,こだわる,"소란을 피우다, 특별히 신경쓰다",vocab,true
N1,こつ (をつかむ),こつ (をつかむ),"비밀, 트릭, 교수형",vocab,true
N1,ことごとく,ことごとく,"전적으로, 전적으로",vocab,true
N1,ございます (かん),ございます (かん),"(존재하다, 정중하다)",vocab,true
N1,ごまかす,ごまかす,"속이다, 위조하다, 허위로 나타내다",vocab,true
N1,ごらんなさい (かん),ごらんなさい (かん),"보세요, (제발) 해보세요",vocab,true
N1,さえずる,さえずる,"노래하다, 지저귀다, 트위터하다",vocab,true
N1,さきに (いぜん),さきに (いぜん),"이전에, 이전에, 이전에",vocab,true
N1,さぞ (さぞや。さぞかし),さぞ (さぞや。さぞかし),"나는 확신해요, 확실히, 의심의 여지가 없어요",vocab,true
N1,さっと,さっと,"갑자기, 순조롭게",vocab,true
N1,さっぱりする,さっぱりする,새로 고치다,vocab,true
N1,さほど,さほど,"그렇지 않아, 그다지 많지는 않아",vocab,true
N1,さも,さも,"즐겁게, 만족스럽게",vocab,true
N1,さらう (こどもを～),さらう (こどもを～),납치하다,vocab,true
N1,しかしながら,しかしながら,그러나 그럼에도 불구하고,vocab,true
N1,しきたり,しきたり,"관습, 관행, 전통",vocab,true
N1,しくじる,しくじる,"실패하다, 실패하다, 실수하다",vocab,true
N1,しなやか,しなやか,"유연한, 유연한, 탄력 있는",vocab,true
N1,しぶとい,しぶとい,"끈기 있는, 완고한",vocab,true
N1,しょっちゅう,しょっちゅう,"항상, 끊임없이",vocab,true
N1,じっくり,じっくり,"일부러, 조심스럽게",vocab,true
N1,すがすがしい,すがすがしい,"신선하다, 상쾌하다",vocab,true
N1,すくう (みずを～),すくう (みずを～),퍼내다,vocab,true
N1,すばしこい,すばしこい,"민첩하다, 똑똑하다, 빠르다",vocab,true
N1,すみやか,すみやか,빠른,vocab,true
N1,すれちがい,すれちがい,우연한 만남,vocab,true
N1,すんなり,すんなり,"이의 없이 통과시키다, 호리호리한, 호리호리한",vocab,true
N1,ずばり,ずばり,"단호하게, 거침없이, 솔직하게",vocab,true
N1,ずぶぬれ,ずぶぬれ,"흠뻑 젖은, 물이 뚝뚝 떨어지는",vocab,true
N1,ずらっと,ずらっと,"줄줄이, 줄줄이",vocab,true
N1,ずるずる,ずるずる,"질질 끄는 소리, 훌쩍이는 소리",vocab,true
N1,ずれ,ずれ,"차이, 격차",vocab,true
N1,そこら,そこら,"어디에나, 어딘가에",vocab,true
N1,そらす,そらす,"구부리다, 휘게 하다",vocab,true
N1,そり (～にのる),そり (～にのる),"썰매, 썰매",vocab,true
N1,それゆえ,それゆえ,"그러므로, 그런 이유로, 그래서",vocab,true
N1,ぞんざい,ぞんざい,"무례한, 부주의한, 단정치 못한",vocab,true
N1,たくましい,たくましい,"건장한, 강한, 건장한",vocab,true
N1,たやすい,たやすい,"쉽다, 간단하다, 가볍다",vocab,true
N1,だったら,だったら,그렇다면,vocab,true
N1,だと,だと,그렇다면,vocab,true
N1,だぶだぶ,だぶだぶ,"헐렁한, 헐렁한",vocab,true
N1,だるい,だるい,"나른한, 나른한 (피곤한) 느낌",vocab,true
N1,ちやほや,ちやほや,"애지중지하다, 소란을 피우다, 망치다",vocab,true
N1,ちょくちょく,ちょくちょく,"자주, 자주, 이따금, 가끔씩",vocab,true
N1,ちらっと,ちらっと,"얼핏, 우연히",vocab,true
N1,つかの間,つかのま,"순간, 짧은 시간,",vocab,true
N1,つくづく,つくづく,"완전히, 정말로",vocab,true
N1,つじつま (はなしの～),つじつま (はなしの～),"일관성, 일관성",vocab,true
N1,つねる,つねる,꼬집다,vocab,true
N1,つぶら,つぶら,"둥글다, 둥글다",vocab,true
N1,つぶる (めを～),つぶる (めを～),눈을 감다,vocab,true
N1,てっきり,てっきり,"확실히, 확실히, 의심할 여지 없이",vocab,true
N1,てっぺん,てっぺん,"정상, 정상, 정점",vocab,true
N1,てんで,てんで,"(아님) 전혀, 전혀, 전적으로",vocab,true
N1,でかい,でかい,거대한,vocab,true
N1,できもの,できもの,"종기, 발진",vocab,true
N1,とかく,とかく,"어쨌든, 어쨌든, 어쨌든",vocab,true
N1,とがめる,とがめる,"비난하다, 꾸짖다",vocab,true
N1,とぎれる,とぎれる,"일시 중지하다, 중단되다",vocab,true
N1,とげ (をさす),とげ (をさす),가시,vocab,true
N1,とっさに,とっさに,즉시,vocab,true
N1,とって,とって,"손잡이, 그립, 손잡이",vocab,true
N1,とぼける,とぼける,"멍청한 척하다, 무지한 척하다, 순진한 척하다, 멍한 표정을 짓다; 바보처럼 행동하다; 쇠약해지다",vocab,true
N1,とりあえず,とりあえず,"일단, 우선 당분간은",vocab,true
N1,とろける,とろける,녹다; 매혹되다,vocab,true
N1,とんだ,とんだ,"끔찍하다, 끔찍하다, 심각하다, 절대 그렇지 않다",vocab,true
N1,どうにか,どうにか,"어떤 식으로든, 어떤 식으로든",vocab,true
N1,どうやら,どうやら,왠지 그럴 것 같아,vocab,true
N1,なおさら,なおさら,"더욱, 더욱 적게",vocab,true
N1,なにとぞ,なにとぞ,"제발, 부디, 꼭",vocab,true
N1,なにより,なにより,"가장, 최고",vocab,true
N1,なるたけ,なるたけ,가능하다면 최대한,vocab,true
N1,なんだかんだ,なんだかんだ,뭔가 또는 다른,vocab,true
N1,なんなり,なんなり,뭐든지 뭐든지,vocab,true
N1,にきび,にきび,"여드름,여드름",vocab,true
N1,にせ物,にせもの,"모방, 위조",vocab,true
N1,にも関わらず,にもかかわらず,"그럼에도 불구하고, 그럼에도 불구하고",vocab,true
N1,ねじまわし,ねじまわし,드라이버,vocab,true
N1,ねだる,ねだる,"잔소리하다, 요구하다",vocab,true
N1,のどか,のどか,"고요한, 고요한, 조용한",vocab,true
N1,はかない,はかない,"단명한, 일시적인, 일시적인",vocab,true
N1,はまる,はまる,"들어가다, 들어가다, 적합하다, 적합하다, 적합하다",vocab,true
N1,はらはら,はらはら,긴장하다,vocab,true
N1,ばい菌,ばいきん,"박테리아, 세균",vocab,true
N1,ばかばかしい,ばかばかしい,멍청한,vocab,true
N1,ばてる,ばてる,"지치게 하다, 지치게 하다",vocab,true
N1,ばらまく,ばらまく,"퍼뜨리다, 흩어지게 하다",vocab,true
N1,ひいては,ひいては,"뿐만 아니라…뿐만 아니라, 결과적으로",vocab,true
N1,ひたすら,ひたすら,"아무것도 아닌, 진심으로, 열심히",vocab,true
N1,ひび (かべの～),ひび (かべの～),"균열, 균열, 결함",vocab,true
N1,ひょっと,ひょっと,어쩌면 우연히,vocab,true
N1,びっしょり,びっしょり,"흠뻑 젖다, 흠뻑 젖다",vocab,true
N1,びら,びら,"유인물, 전단지",vocab,true
N1,びり,びり,"목록의 마지막, 맨 아래",vocab,true
N1,ふさわしい,ふさわしい,적절한,vocab,true
N1,ふらふら,ふらふら,"발이 불안정하다, 비틀거리다, 현기증이 난다",vocab,true
N1,ふんだん,ふんだん,"풍부한, 풍부한, 호화로운",vocab,true
N1,ぶかぶか,ぶかぶか,"너무 크다, 헐렁하다",vocab,true
N1,ぶらぶら,ぶらぶら,"무겁게 매달리다, 이리저리 흔들리다, 한가롭게 거닐다",vocab,true
N1,へりくだる,へりくだる,자신을 비하하고 듣는 사람을 칭찬하는 것,vocab,true
N1,ぺこぺこ,ぺこぺこ,"새끼야, 많이 배고프다",vocab,true
N1,ほっぺた,ほっぺた,볼,vocab,true
N1,ほとり,ほとり,호수 부근; 강,vocab,true
N1,ぼつぼつ,ぼつぼつ,점점 여기저기 얼룩이,vocab,true
N1,ぼやく,ぼやく,"투덜거리다, 불평하다",vocab,true
N1,ぼやける,ぼやける,"희미해지다, 흐릿해지다",vocab,true
N1,まごつく,まごつく,"당황하다, 당황하다",vocab,true
N1,まさしく,まさしく,"확실히, 의심의 여지 없이, 분명히",vocab,true
N1,まして,まして,"더욱, 더욱 적게 (부정 동사 포함), 말할 것도 없이",vocab,true
N1,またがる (うまを～),またがる (うまを～),걸터앉다,vocab,true
N1,まちまち,まちまち,"다양하다, 다르다",vocab,true
N1,まと,まと,"표시, 목표",vocab,true
N1,まるっきり,まるっきり,"완전히, 완벽하게, 마치 마치",vocab,true
N1,みすぼらしい,みすぼらしい,"초라한, 초라한",vocab,true
N1,むしる,むしる,"뽑다, 따다, 찢다",vocab,true
N1,もがく,もがく,"몸부림치다, 몸부림치다, 참을성이 없다",vocab,true
N1,もしかして,もしかして,"아마도, 아마도",vocab,true
N1,もしくは,もしくは,또는 그렇지 않으면,vocab,true
N1,もたらす,もたらす,"가져오다, 가져오다, 가져오다",vocab,true
N1,もてなす,もてなす,"즐겁게 하다, 환대하다",vocab,true
N1,もてる,もてる,"인기가 좋다, 인기가 좋다",vocab,true
N1,もはや,もはや,"이미, 지금",vocab,true
N1,もめる,もめる,"동의하지 않다, 논쟁하다",vocab,true
N1,もろに,もろに,"완전히, 전적으로, 육체적으로",vocab,true
N1,やけに,やけに,"물론이죠, 아주요",vocab,true
N1,ややこしい,ややこしい,"수수께끼 같은, 얽힌, 복잡한, 복잡한",vocab,true
N1,やりとおす,やりとおす,"완수하다, 달성하다, 완료하다",vocab,true
N1,やりとげる,やりとげる,성취하다,vocab,true
N1,ゆとり,ゆとり,"예비, 풍요, 시간(여유)",vocab,true
N1,よし (かん),よし (かん),괜찮은!,vocab,true
N1,よって (よりどころ),よって (よりどころ),그러므로 결과적으로,vocab,true
N1,ろくな,ろくな,"만족스러운, 괜찮은",vocab,true
N1,わざわざ,わざわざ,"to take the Trouble (to do), 우연히보다는 특별히 어떤 일을 하다",vocab,true
N1,アクセル,アクセル,(약어) 가속기,vocab,true
N1,アプローチ,アプローチ,접근 (골프에서),vocab,true
N1,アマチュア,アマチュア,아마추어,vocab,true
N1,アラブ,アラブ,아라비아 사람,vocab,true
N1,アルカリ,アルカリ,알칼리,vocab,true
N1,アルミ,アルミ,"알루미늄(Al, 알루미늄)",vocab,true
N1,アワー,アワー,시간,vocab,true
N1,アンコール,アンコール,연주,vocab,true
N1,イェス,イェス,예; 예수,vocab,true
N1,インターチェンジ,インターチェンジ,교환,vocab,true
N1,インターナショナル,インターナショナル,국제적인,vocab,true
N1,インターフォン,インターフォン,"출입전화, 인터폰",vocab,true
N1,インテリ,インテリ,"(약어) 지식인, 지식인",vocab,true
N1,インフォメーション,インフォメーション,정보,vocab,true
N1,インフレ,インフレ,(약어) 인플레이션,vocab,true
N1,エアメール,エアメール,항공 우편,vocab,true
N1,エレガント,エレガント,우아한,vocab,true
N1,エンジニア,エンジニア,엔지니어,vocab,true
N1,オリエンテーション,オリエンテーション,정위,vocab,true
N1,オンライン,オンライン,온라인,vocab,true
N1,オートマチック,オートマチック,오토매틱,vocab,true
N1,カクテル,カクテル,칵테일,vocab,true
N1,カット,カット,"자르다, 자르다",vocab,true
N1,カテゴリー,カテゴリー,범주,vocab,true
N1,カムバック,カムバック,회복,vocab,true
N1,カメラマン,カメラマン,카메라맨,vocab,true
N1,カルテ,カルテ,임상 기록(GER: Karte),vocab,true
N1,カンニング,カンニング,"교활한, 사기꾼",vocab,true
N1,カーペット,カーペット,양탄자,vocab,true
N1,ガイド,ガイド,가이드,vocab,true
N1,ガイドブック,ガイドブック,안내서,vocab,true
N1,ガレージ,ガレージ,차고(집),vocab,true
N1,キャッチ,キャッチ,잡다,vocab,true
N1,キャリア,キャリア,"경력, 경력 공무원",vocab,true
N1,クイズ,クイズ,놀리다,vocab,true
N1,クレーン,クレーン,기중기,vocab,true
N1,グレー,グレー,"회색, 회색",vocab,true
N1,ゲスト,ゲスト,손님,vocab,true
N1,コマーシャル,コマーシャル,광고,vocab,true
N1,コメント,コメント,논평,vocab,true
N1,コンタクト (レンズ),コンタクト (レンズ),연락하다; 콘택트 렌즈,vocab,true
N1,コントラスト,コントラスト,차이,vocab,true
N1,コントロール,コントロール,제어,vocab,true
N1,コンパス,コンパス,나침반,vocab,true
N1,コーナー,コーナー,모서리,vocab,true
N1,サイクル,サイクル,주기,vocab,true
N1,サイズ,サイズ,크기,vocab,true
N1,サボる,サボる,수업을 빼먹다(건너뛰다); 일을 게으르게 하다; 시간을 낭비하다,vocab,true
N1,サンキュー,サンキュー,감사합니다,vocab,true
N1,サンタクロース,サンタクロース,산타클로스,vocab,true
N1,システム,システム,체계,vocab,true
N1,シック,シック,우아한,vocab,true
N1,シナリオ,シナリオ,대본,vocab,true
N1,ショー,ショー,보여주다,vocab,true
N1,シート,シート,좌석; 시트,vocab,true
N1,ジャズ,ジャズ,재즈,vocab,true
N1,ジャンパー,ジャンパー,"재킷, 점퍼",vocab,true
N1,ジャンプ,ジャンプ,도약,vocab,true
N1,ジャンボ,ジャンボ,거대한 것,vocab,true
N1,ジャンル,ジャンル,장르,vocab,true
N1,ジーパン,ジーパン,청바지,vocab,true
N1,スタジオ,スタジオ,사진관,vocab,true
N1,スチーム,スチーム,증기,vocab,true
N1,スト,スト,(약어) 파업,vocab,true
N1,ストライキ,ストライキ,스트라이크,vocab,true
N1,ストロボ,ストロボ,"스트로보스코프 (문자 그대로: 스트로보, 스트로보 램프, 스트로보스코프 램프)",vocab,true
N1,ストロー,ストロー,빨대,vocab,true
N1,スプリング,スプリング,봄,vocab,true
N1,スペース,スペース,공간,vocab,true
N1,スポーツカー,スポーツカー,스포츠카,vocab,true
N1,スラックス,スラックス,느슨한 바지,vocab,true
N1,セクション,セクション,부분,vocab,true
N1,セックス,セックス,섹스,vocab,true
N1,セレモニー,セレモニー,의식,vocab,true
N1,センス,センス,"감각 (음악, 스타일, 재치 등)",vocab,true
N1,セール,セール,판매,vocab,true
N1,ゼリー,ゼリー,젤리,vocab,true
N1,ソックス,ソックス,양말,vocab,true
N1,ソロ,ソロ,독주,vocab,true
N1,ソース,ソース,원천,vocab,true
N1,タイピスト,タイピスト,타이피스트,vocab,true
N1,タイマー,タイマー,시간제 노동자,vocab,true
N1,タイミング,タイミング,타이밍,vocab,true
N1,タイム,タイム,시간,vocab,true
N1,タイムリー,タイムリー,"적시, 런타인(야구), 타점",vocab,true
N1,タイル,タイル,타일,vocab,true
N1,タレント,タレント,"재능, 스타, 성격",vocab,true
N1,タワー,タワー,탑,vocab,true
N1,ダンプ,ダンプ,덤프트럭,vocab,true
N1,ダース,ダース,다스,vocab,true
N1,チェンジ,チェンジ,변화,vocab,true
N1,チャンネル,チャンネル,채널,vocab,true
N1,チームワーク,チームワーク,팀워크,vocab,true
N1,ティシュペーパー,ティシュペーパー,조직,vocab,true
N1,テレックス,テレックス,"텔렉스, 텔레타이프라이터 교환",vocab,true
N1,デコレーション,デコレーション,장식,vocab,true
N1,デッサン,デッサン,대략적인 스케치 (FRE: dessin),vocab,true
N1,デモンストレーション,デモンストレーション,데모,vocab,true
N1,トラブル,トラブル,문제 (때때로 동사로 사용됨),vocab,true
N1,トランジスター,トランジスター,트랜지스터,vocab,true
N1,トーン,トーン,음정,vocab,true
N1,ドライ,ドライ,마른,vocab,true
N1,ドライクリーニング,ドライクリーニング,드라이 클리닝,vocab,true
N1,ドライバー,ドライバー,"드라이버, 드라이버",vocab,true
N1,ドライブイン,ドライブイン,운전하다,vocab,true
N1,ドリル,ドリル,송곳,vocab,true
N1,ナイター,ナイター,"조명 아래에서 하는 게임(예: 야구), 야간 게임",vocab,true
N1,ナプキン,ナプキン,냅킨,vocab,true
N1,ナンセンス,ナンセンス,무의미한 말,vocab,true
N1,ニュアンス,ニュアンス,미묘한 차이,vocab,true
N1,ニュー,ニュー,새로운,vocab,true
N1,ネガ,ネガ,(사진) 네거티브,vocab,true
N1,ノイローゼ,ノイローゼ,신경증 (GER: 신경증),vocab,true
N1,ハンガー,ハンガー,(코트) 행거,vocab,true
N1,バッジ,バッジ,배지,vocab,true
N1,バッテリー,バッテリー,배터리,vocab,true
N1,バット,バット,"박쥐, 통",vocab,true
N1,バー,バー,술집,vocab,true
N1,パジャマ,パジャマ,파자마,vocab,true
N1,パチンコ,パチンコ,파칭코(일본 핀볼),vocab,true
N1,パトカー,パトカー,순찰차,vocab,true
N1,パンク,パンク,"펑크, 파열; 펑크",vocab,true
N1,パート,パート,아르바이트,vocab,true
N1,ヒント,ヒント,힌트,vocab,true
N1,ビジネス,ビジネス,사업,vocab,true
N1,ビールス,ビールス,바이러스,vocab,true
N1,ファイト,ファイト,싸움,vocab,true
N1,ファイル,ファイル,파일; 포트폴리오,vocab,true
N1,ファン,ファン,팬,vocab,true
N1,フィルタ,フィルタ,필터,vocab,true
N1,フォーム,フォーム,거품; 형태,vocab,true
N1,フロント,フロント,앞쪽,vocab,true
N1,ブザー,ブザー,부저,vocab,true
N1,ブル,ブル,황소,vocab,true
N1,ブーツ,ブーツ,부츠,vocab,true
N1,ブーム,ブーム,팔,vocab,true
N1,ベスト,ベスト,최상의; 조끼,vocab,true
N1,ベストセラー,ベストセラー,베스트셀러,vocab,true
N1,ベース,ベース,"베이스, 베이스",vocab,true
N1,ペア,ペア,"쌍, 배",vocab,true
N1,ホース,ホース,호스,vocab,true
N1,ホール,ホール,홀; 구멍,vocab,true
N1,ボイコット,ボイコット,보이콧,vocab,true
N1,ボルト,ボルト,볼트; 볼트,vocab,true
N1,ポイント,ポイント,가리키다,vocab,true
N1,ポジション,ポジション,위치,vocab,true
N1,ポット,ポット,냄비,vocab,true
N1,ポンプ,ポンプ,펌프,vocab,true
N1,ポーズ,ポーズ,정지시키다,vocab,true
N1,マイクロフォン,マイクロフォン,마이크로폰,vocab,true
N1,マイ～,マイ～,"내 ~, 자기 자신의 ~",vocab,true
N1,マーク,マーク,표시,vocab,true
N1,ミスプリント,ミスプリント,오식,vocab,true
N1,ミセス,ミセス,부인,vocab,true
N1,ミュージック,ミュージック,음악,vocab,true
N1,ムード,ムード,분위기,vocab,true
N1,メディア,メディア,메디아,vocab,true
N1,メロディー,メロディー,멜로디,vocab,true
N1,メーカー,メーカー,제조업체,vocab,true
N1,モニター,モニター,(컴퓨터) 모니터,vocab,true
N1,モーテル,モーテル,모텔,vocab,true
N1,ヤング,ヤング,어린,vocab,true
N1,ユニフォーム,ユニフォーム,제복,vocab,true
N1,ユニーク,ユニーク,고유한,vocab,true
N1,ライス,ライス,쌀,vocab,true
N1,ランプ,ランプ,램프; 비탈길,vocab,true
N1,リード,リード,선두; 갈대,vocab,true
N1,ルーズ,ルーズ,헐렁한,vocab,true
N1,レギュラー,レギュラー,정기적인,vocab,true
N1,レッスン,レッスン,수업,vocab,true
N1,レディー,レディー,숙녀,vocab,true
N1,レバー,レバー,지렛대; 간,vocab,true
N1,レンジ,レンジ,"레인지, 스토브",vocab,true
N1,レンタカー,レンタカー,렌트카,vocab,true
N1,レントゲン,レントゲン,X선(점등: Roentgen),vocab,true
N1,レース,レース,경주; 레이스,vocab,true
N1,ロマンチック,ロマンチック,낭만적인,vocab,true
N1,ロープ,ロープ,로프,vocab,true
N1,ロープウエイ,ロープウエイ,"로프웨이, 공중 트램",vocab,true
N1,ワット,ワット,와트,vocab,true
N1,一切,いっさい,예외 없이 전체적으로,vocab,true
N1,一別,いちべつ,이별,vocab,true
N1,一同,いちどう,"참석한 모든 사람, 관련된 모든 사람, 우리 모두",vocab,true
N1,一変,いっぺん,완전한 변화,vocab,true
N1,一律,いちりつ,"균등한, 획일적인, 동등한",vocab,true
N1,一心,いっしん,"한 마음, 열중하여",vocab,true
N1,一息,ひといき,"숨, 멈춤, 노력",vocab,true
N1,一括,いっかつ,"모두 함께, 일괄",vocab,true
N1,一挙に,いっきょに,"단번에, 한 번의 급습으로",vocab,true
N1,一概に,いちがいに,"무조건, 필연적으로",vocab,true
N1,一様,いちよう,"획일적인, 비슷한, 동등한",vocab,true
N1,一気,いっき,"한 번에, 한 번에",vocab,true
N1,一目,いちもく,"훑어보다, 잠깐, 잠깐 보다",vocab,true
N1,一筋,ひとすじ,"한 줄, 진지하게, 맹목적으로, 솔직하게",vocab,true
N1,一見,いっけん,"훑어보기, 살짝, 훑어보기; 생면",vocab,true
N1,一連,いちれん,"시리즈, 체인, 뭉치(종이)",vocab,true
N1,一部分,いちぶぶん,"부분, 일부",vocab,true
N1,一面,いちめん,"한쪽, 다른 쪽",vocab,true
N1,一頃,ひところ,"한 번, 얼마 전에",vocab,true
N1,万人,ばんにん,"모든 사람, 모두, 10000명",vocab,true
N1,万能,ばんのう,"만능의, 전능한, 전능한",vocab,true
N1,丈,たけ,"길이, 높이",vocab,true
N1,三味線,しゃみせん,3현 일본 기타,vocab,true
N1,上がり,あがり,"오르막; 소득; 완료, 중지",vocab,true
N1,上位,じょうい,"우월한, 더 높은 질서",vocab,true
N1,上回る,うわまわる,초과하다,vocab,true
N1,上昇,じょうしょう,"오르다, 오름차순, 오르다",vocab,true
N1,上演,じょうえん,예술 공연,vocab,true
N1,上空,じょうくう,"하늘, 높은 고도의 하늘, 상공",vocab,true
N1,上陸,じょうりく,"착륙, 하선",vocab,true
N1,下取り,したどり,"트레이드 인, 부품 교환",vocab,true
N1,下地,したじ,"기초, 기초",vocab,true
N1,下心,したごころ,"비밀 의도, 동기",vocab,true
N1,下火,したび,"약해지고, 쇠퇴하고, 쇠퇴하고",vocab,true
N1,下痢,げり,설사,vocab,true
N1,下調べ,したしらべ,예비 조사,vocab,true
N1,不動産,ふどうさん,부동산,vocab,true
N1,不可欠,ふかけつ,"필수불가결한, 필수적인",vocab,true
N1,不吉,ふきつ,"불길한, 불길한, 불길한, 불길한 징조",vocab,true
N1,不在,ふざい,결석,vocab,true
N1,不審,ふしん,"의심스러운, 의혹, 불신앙",vocab,true
N1,不当,ふとう,"불공정, 부적절, 불공평",vocab,true
N1,不意,ふい,"갑작스러운, 갑작스러운, 예상치 못한",vocab,true
N1,不振,ふしん,"둔함, 침체, 침체",vocab,true
N1,不明,ふめい,"알 수 없는, 모호한",vocab,true
N1,不景気,ふけいき,"사업 불황, 어려운 시기, 우울증",vocab,true
N1,不服,ふふく,"불만, 불만, 반대",vocab,true
N1,不況,ふきょう,"경기침체, 불황, 슬럼프",vocab,true
N1,不良,ふりょう,"불량, 불량, 실패",vocab,true
N1,不評,ふひょう,"나쁜 평판, 불명예, 인기 없음",vocab,true
N1,不調,ふちょう,"나쁜 상태, 혼란, 슬럼프",vocab,true
N1,不順,ふじゅん,"불규칙성, 계절에 맞지 않음",vocab,true
N1,与党,よとう,"여당, (여당) 집권당, 정부",vocab,true
N1,且つ,かつ,"아직, 그리고",vocab,true
N1,世代,せだい,세대,vocab,true
N1,世帯,せたい,가정,vocab,true
N1,世論,せろん,여론,vocab,true
N1,世論,よろん,여론,vocab,true
N1,世辞,せじ,"아첨, 칭찬",vocab,true
N1,両極,りょうきょく,"양쪽 끝, 북극과 남극",vocab,true
